               time      dR_m      dT_m      dN_m
2024-01-01T00:00:00 -0.010120  0.011093  0.014791
2024-01-01T00:01:00 -0.009571  0.010036  0.013416
2024-01-01T00:02:00 -0.009129  0.016914  0.011748
2024-01-01T00:03:00 -0.008457  0.016332  0.009811
2024-01-01T00:04:00 -0.008295  0.013208  0.008239
2024-01-01T00:05:00 -0.008238  0.018255  0.007072
2024-01-01T00:06:00 -0.007931  0.017964  0.004564
2024-01-01T00:07:00 -0.007188  0.014579  0.004283
2024-01-01T00:08:00 -0.008217  0.016237  0.002280
2024-01-01T00:09:00 -0.007254  0.019332  0.000130
2024-01-01T00:10:00 -0.006840  0.016254 -0.001403
2024-01-01T00:11:00 -0.006247  0.018097 -0.002160
2024-01-01T00:12:00 -0.006075  0.020563 -0.004001
2024-01-01T00:13:00 -0.005399  0.016926 -0.004300
2024-01-01T00:14:00 -0.005223  0.018226 -0.006019
2024-01-01T00:15:00 -0.004528  0.021512 -0.008145
2024-01-01T00:16:00 -0.004153  0.017217 -0.008357
2024-01-01T00:17:00 -0.004133  0.018210 -0.009745
2024-01-01T00:18:00 -0.003335  0.022451 -0.010531
2024-01-01T00:19:00 -0.002991  0.017993 -0.011074
2024-01-01T00:20:00 -0.001579  0.019017 -0.012318
2024-01-01T00:21:00 -0.001206  0.022124 -0.013188
2024-01-01T00:22:00 -0.000348  0.017638 -0.013840
2024-01-01T00:23:00  0.000038  0.017590 -0.013726
2024-01-01T00:24:00  0.000822  0.016021 -0.013383
2024-01-01T00:25:00  0.002258  0.021193 -0.015212
2024-01-01T00:26:00  0.002942  0.016705 -0.014303
2024-01-01T00:27:00  0.003859  0.015640 -0.014693
2024-01-01T00:28:00  0.004010  0.019898 -0.014292
2024-01-01T00:29:00  0.004886  0.014556 -0.014001
2024-01-01T00:30:00  0.006192  0.013200 -0.013711
2024-01-01T00:31:00  0.007069  0.017766 -0.014744
2024-01-01T00:32:00  0.007470  0.012975 -0.014437
2024-01-01T00:33:00  0.007786  0.010640 -0.013540
2024-01-01T00:34:00  0.007503  0.015778 -0.014394
